,Kalman (q MLE) - Unconstrained,Kalman (q MLE) - Beta-neutral,Kalman (q/10) - Unconstrained,Kalman (q/10) - Beta-neutral,Kalman (q/100) - Unconstrained,Kalman (q/100) - Beta-neutral,Static - Unconstrained,Static - Beta-neutral,Benchmark (EW) - Unconstrained,Benchmark (EW) - Beta-neutral
2000-03-31,0.07607253361097731,0.12377339992758953,0.11885196746499288,0.14948762660086107,0.15528528264073083,0.17756913881227668,-0.09172132273408955,-0.16163470993282086,-0.018379921161800015,-0.029671178019749996
2000-06-30,-0.0672888342583339,-0.07274568787988875,-0.06289688038855112,-0.06332101222340357,-0.055643867478941664,-0.05570331187140632,-0.005051096473545801,-0.006305485566490146,0.007372568385599941,0.02489276247699995
2000-09-30,0.05000103170665272,-0.023523829396325885,0.07785887918698454,-0.020794377359550892,0.06962866849046,-0.06426604493660251,0.07160352704951287,-0.021027716181212908,0.053259309241999966,0.06983008576849993
2000-12-31,-0.057959239550835595,-0.037037824534482955,-0.020702272152290757,-0.00579174115204073,0.005663985480406419,0.011484612045750298,-0.18860368663619548,-0.160958206859635,0.11909162483800001,0.17925976597749999
2001-03-31,-0.04670040000093792,0.05848414753663979,-0.02630240641174983,0.09673829594511141,-0.01958905233082188,0.10393862069993351,-0.06897892843308845,-0.06414380435110277,0.04892766554619998,0.09576156146399997
2001-06-30,0.010460349800519367,-0.007674305545240963,0.010931855345123337,-0.004766076660940338,0.011792605534028448,0.001361353516734584,-0.035067878818634546,-0.04732301460181954,0.018173663441000024,0.006302787913250052
2001-09-30,0.13307950383849293,0.15256973328909654,0.06655831057518444,0.049258732335661734,0.0020710727090312436,-0.018495440853225752,-0.06622286058672194,-0.10372411221697692,0.033791784662600036,0.08438499074825004
2001-12-31,-0.013481591153972933,-0.05269517062823957,-0.014670241462977657,-0.045231166772645354,-0.01838426933718683,-0.03829525615994192,-0.004666528252438339,-0.021579164338298956,0.010859965877399956,-0.016352321599250052
2002-03-31,0.17444289083249873,0.11224965812012436,0.1709906116060114,0.1088348572095705,0.17486130317953041,0.11396451725337177,0.03396353669247636,-0.11424042304313814,0.06463772282699999,0.07980591334174995
2002-06-30,0.11174887134571027,0.18759316903042006,0.1420423588784501,0.18663847636487543,0.15017233389984974,0.18501888984942236,-0.10326092084773733,-0.17127481303244835,0.04410854654359998,0.0882838229015
2002-09-30,-0.22492639058247918,-0.060945615506477466,-0.21356084739013168,-0.06517587906094277,-0.1790687417709671,-0.04488321805252922,-0.20245460470128862,-0.011903746348913408,-0.03465083319480006,-0.00013461706850009976
2002-12-31,0.05224900814085528,-0.02865717965300366,0.06562801321740153,0.01977517145022686,0.007534952957650019,-0.007918660181777459,0.09798852107874523,0.035772893901173934,0.002699946602000061,-0.015838740731499948
2003-03-31,0.009838312060919206,0.04694407424490254,0.02237156608031541,0.04194067635967685,0.02739964724114923,0.04368065890653575,-0.021379681005800164,0.0006001534242160477,-0.012471588082600023,-0.007190329214250026
2003-06-30,0.024302943063638838,-0.06856037686811389,0.0186446990305043,-0.03659173524890742,0.029507014889131992,-0.017201257898193628,0.09262761752721049,-0.011116191018655127,0.03781430650559996,0.006382924536999953
2003-09-30,0.05328134896978268,0.05553816164464204,0.07571941191668516,0.07748171887069835,0.07074395993308841,0.06766061608415953,0.02337513314923935,0.0076139309051270684,0.02001289160120006,0.01647653496050005
2003-12-31,0.1097577933405918,0.027816124773291543,0.07472656747233454,0.006223191309337017,0.06807303012732022,0.009154647577823402,0.07565190439460162,-0.00048695224793091074,0.04730837682859988,0.028824600455749874
2004-03-31,0.02294552017372287,0.024732584877522997,0.014176923945265003,0.007524969458972192,0.004204263834422449,-0.01103416764849698,0.01168853317549313,0.005381251716476692,0.0214021472391999,0.02122057734899985
2004-06-30,0.0021392592013923795,-0.0011652690217855196,0.005930905867865901,0.007953351397808967,0.00030769890478661577,-0.010710259770813697,0.011918740148226713,0.012604381832629498,-0.0015390559545999747,-0.0048893713092499685
2004-09-30,-0.02532650819586995,0.022645511472811068,-0.01100576687141758,0.046024958709711544,-0.031652552771923546,0.018630748362776187,-0.07103072051494094,-0.056174227816624914,0.00220071995259998,0.008817509220749977
2004-12-31,0.03209550474901542,-0.002873405883998339,0.01695206787151091,-0.010595337265195251,0.024873224053186035,-0.01995698810964331,0.04637616633626283,0.013325000495995061,0.02690183213159994,0.009553753873
2005-03-31,0.045243986247756204,0.06665327633325216,0.060129339843608284,0.07351387255673433,0.043938826993524506,0.07562519977010733,-0.035506275645156744,-0.03564994739246578,0.00865454482120006,0.017902959001500077
2005-06-30,0.03200317713272042,0.040641846554289124,0.03642837385270385,0.039979372586253996,0.02950525398211111,0.03621067212774293,-0.01171659054658902,-0.015110393060724118,0.010826185421999979,0.009681132827500001
2005-09-30,0.018834158491420325,0.02279592359038388,0.026524139554280388,0.027810679473201906,0.022787349971633855,0.025109783000356305,-0.020850744797793447,-0.02599468957517611,0.004185615663200019,-0.002682455940999925
2005-12-31,0.006702507475157729,0.014834817431077216,0.0203762071142499,0.02544672841562897,0.02299911333899243,0.029002191216712665,-0.028464414826240687,-0.030304569831012367,-0.007347093515799961,-0.012315778758749975
2006-03-31,0.02207137782164958,0.014848117343224453,0.003007392312942553,-0.006582484194958639,-0.007999956582590992,-0.01922313601817122,0.04010169093735956,0.03843200851625017,0.0287854909922,0.02540459529775
2006-06-30,0.01796162332568105,0.027041547849794567,0.013946047765360523,0.01943209915454354,0.011144511636851685,0.015396031033304539,-0.00023857157882992662,-0.0008542426862778729,0.00749020396100006,0.017328449053250025
2006-09-30,0.029838640397172277,-0.02529454977299481,0.02415818184677187,-0.030616152625459886,0.03199873911326856,-0.0305444909059973,0.046540134673255434,0.0015784986828527754,0.006629972963599921,0.0005193027304999012
2006-12-31,0.0521241017342195,0.018287999615498655,0.05213174879705334,0.017505289830994943,0.05261888133403,0.01828346865588963,0.04003344835076987,0.003126928701057473,0.0218554798716,0.012651786614500001
2007-03-31,-0.008577545745756757,-0.006670773582311448,-0.008346413671745087,-0.006446674672583565,-0.008997246492633407,-0.007173680428532303,0.0002626531113240809,0.00788766616430435,-0.0015113264031999802,-0.002135762902
2007-06-30,0.05169102189039176,-4.799248321591071e-05,0.06400328171910316,0.027938483049064683,0.05335293657117323,0.01349655998246686,0.05710902621932216,0.015941482779683342,0.00719408762840002,-0.00287976974049995
2007-09-30,-0.035531665714154836,-0.05198863005822969,-0.014628651711324318,-0.007104125156044666,-0.015220052031966524,-0.00822059258427986,-0.03842884148089175,-0.04791821214943423,-0.038113236151599963,-0.048427520265499985
2007-12-31,-0.013697701816145352,0.018159372308569514,0.012925069623729041,0.04408762796488957,0.016493514963489393,0.040322129484028565,-0.02819426338100893,-0.01874025406536941,-0.02032426826339996,-0.015557871589249952
2008-03-31,-0.043037673066468454,0.024159331109395513,-0.04319873826593128,0.01662066257784474,-0.03824395706081883,0.0021877699250347944,-0.0452172964076955,0.03146432808532834,-0.003007856452399942,0.02141041370250005
2008-06-30,-0.02067427677064141,-0.02554839794786235,-0.03841823349755072,-0.04697184515378043,-0.003118488861180109,0.0012238089488794887,-0.017435466191828376,-0.035666166641919274,0.0009623384934000613,0.007246233742000101
2008-09-30,-0.056339456908441304,0.0053209922410867375,-0.03668530023856421,0.02932066114946174,-0.016783013775689234,0.030588571838266868,-0.03339486620188728,0.08260944511061075,0.03589947151379994,0.06650766961099988
2008-12-31,-0.10731013332287768,-0.009288642776548534,-0.13830996421103223,-0.07311003536352693,-0.11679167536191164,-0.06974650902019176,-0.1534180906583903,-0.12319424766939073,-0.048493825637199936,-0.004975796186499949
2009-03-31,-0.05786477441748666,-0.000661683305193457,-0.04767940762239485,-0.007348751477095267,-0.009754053179611817,-0.012894745288656188,-0.08713146081596124,-0.03479536878445687,-0.06393375491739997,-0.05499647957825
2009-06-30,0.05373118317936862,-0.02018882683394458,0.014541475455230782,-0.03470789960600812,-0.03325143875459001,-0.02216662370003764,0.08106732278717357,0.020585779405756843,0.04726469927279989,0.0181168362709999
2009-09-30,0.12555062656659605,0.05845476137452961,0.12182988646005702,0.051466174116715585,0.09444437114698725,0.03679601371147686,0.09087952837450515,-0.014560561993182217,0.07974521938519998,0.06000673954749999
2009-12-31,0.06188153703611217,-0.0022806424873845314,0.04691728896992623,-0.03041296365516507,0.040886077922587354,-0.03338585646529505,0.1110979685579349,0.07503983551257225,0.00731257555780002,-0.005126363687749999
2010-03-31,0.029479933535981193,-0.000785721064951686,0.03177894874666875,0.0008432118143167147,0.03988391878708295,0.013211138494763165,0.0236806109282896,-0.013489562274907121,0.03502493839439998,0.028226671980499975
2010-06-30,-0.03790084130013935,0.03280690941810612,-0.04159397049179338,0.03310529732109332,-0.05165996642646018,0.023648519745193688,-0.028243428189489432,0.02812395265810737,-0.022826569594400062,-0.00030678849300009984
